order_id,order_date,month,customer_id,customer_name,city,segment,sales_channel,status,product_id,product_name,category,quantity,unit_price_at_order,unit_cost,gross_sales,discount_amount,net_sales,cost_amount,profit
O00001,2026-02-23 01:13:00,2026-02,C0060,Ramy Hassan,Dammam,New,partner,completed,P002,Electronics Item 2,Electronics,2,249.77,148.0,499.54,49.95400000000001,449.586,296.0,153.586
O00001,2026-02-23 01:13:00,2026-02,C0060,Ramy Hassan,Dammam,New,partner,completed,P020,Electronics Item 20,Electronics,3,339.88,186.68,1019.64,101.964,917.6759999999999,560.04,357.63599999999997
O00002,2026-03-15 12:30:00,2026-03,C0003,Nada Farouk,Cairo,Returning,branch,completed,P002,Electronics Item 2,Electronics,2,249.77,148.0,499.54,0.0,499.54,296.0,203.54000000000002
O00002,2026-03-15 12:30:00,2026-03,C0003,Nada Farouk,Cairo,Returning,branch,completed,P007,Electronics Item 7,Electronics,1,532.56,274.62,532.56,0.0,532.56,274.62,257.93999999999994
O00003,2026-02-23 17:47:00,2026-02,C0050,Farah Saleh,Unknown,Returning,mobile,refunded,P014,Stationery Item 14,Stationery,2,19.65,13.27,39.3,1.965,37.334999999999994,26.54,10.794999999999995
O00003,2026-02-23 17:47:00,2026-02,C0050,Farah Saleh,Unknown,Returning,mobile,refunded,P020,Electronics Item 20,Electronics,4,339.88,186.68,1359.52,67.976,1291.5439999999999,746.72,544.8239999999998
O00004,2026-02-04 13:31:00,2026-02,C0029,Khaled Fathy,Riyadh,Returning,partner,completed,P005,Stationery Item 5,Stationery,2,17.79,8.79,35.58,0.0,35.58,17.58,18.0
O00005,2026-01-22 14:58:00,2026-01,C0052,Youssef Mahmoud,Dammam,New,web,completed,P017,Home Item 17,Home,1,77.76,42.83,77.76,3.888,73.872,42.83,31.042
O00005,2026-01-22 14:58:00,2026-01,C0052,Youssef Mahmoud,Dammam,New,web,completed,P015,Home Item 15,Home,4,197.31,119.65,789.24,39.461999999999996,749.778,478.6,271.178
O00005,2026-01-22 14:58:00,2026-01,C0052,Youssef Mahmoud,Dammam,New,web,completed,P012,Fitness Item 12,Fitness,2,145.22,104.86,290.44,14.522,275.918,209.72,66.19800000000001
O00005,2026-01-22 14:58:00,2026-01,C0052,Youssef Mahmoud,Dammam,New,web,completed,P009,Electronics Item 9,Electronics,2,361.92,249.88,723.84,36.192,687.648,499.76,187.88800000000003
O00006,2026-03-14 21:01:00,2026-03,C0076,Tarek Samir,Dubai,VIP,partner,completed,P009,Electronics Item 9,Electronics,2,361.92,249.88,723.84,0.0,723.84,499.76,224.08000000000004
O00006,2026-03-14 21:01:00,2026-03,C0076,Tarek Samir,Dubai,VIP,partner,completed,P010,Fitness Item 10,Fitness,3,296.73,186.54,890.19,0.0,890.19,559.62,330.57000000000005
O00007,2026-01-24 01:16:00,2026-01,C0060,Ramy Hassan,Dammam,New,branch,completed,P011,Stationery Item 11,Stationery,2,25.67,17.09,51.34,0.0,51.34,34.18,17.160000000000004
O00007,2026-01-24 01:16:00,2026-01,C0060,Ramy Hassan,Dammam,New,branch,completed,P009,Electronics Item 9,Electronics,1,361.92,249.88,361.92,0.0,361.92,249.88,112.04000000000002
O00007,2026-01-24 01:16:00,2026-01,C0060,Ramy Hassan,Dammam,New,branch,completed,P018,Fitness Item 18,Fitness,1,51.76,25.63,51.76,0.0,51.76,25.63,26.13
O00007,2026-01-24 01:16:00,2026-01,C0060,Ramy Hassan,Dammam,New,branch,completed,P012,Fitness Item 12,Fitness,5,145.22,104.86,726.1,0.0,726.1,524.3,201.80000000000007
O00008,2026-02-11 10:48:00,2026-02,C0059,Ramy Hassan,Alexandria,VIP,branch,completed,P002,Electronics Item 2,Electronics,1,249.77,148.0,249.77,12.488500000000002,237.2815,148.0,89.2815
O00008,2026-02-11 10:48:00,2026-02,C0059,Ramy Hassan,Alexandria,VIP,branch,completed,P012,Fitness Item 12,Fitness,4,145.22,104.86,580.88,29.044,551.836,419.44,132.39600000000002
O00008,2026-02-11 10:48:00,2026-02,C0059,Ramy Hassan,Alexandria,VIP,branch,completed,P016,Accessories Item 16,Accessories,1,43.83,20.74,43.83,2.1914999999999996,41.6385,20.74,20.898500000000002
